UNIQID,NAME,fc,p-value
213746_s_at,FLNA,0.15461,0.49441
218472_s_at,PELO,0.15424,0.28001
209448_at,HTATIP2,0.15413,0.5632
212823_s_at,PLEKHG3,0.15392,0.20043
235874_at,PRSS35,0.15335,0.67475
204938_s_at,PLN,0.15212,0.54466
203756_at,ARHGEF17,0.15086,0.12025
223315_at,NTN4,0.15012,0.78049
91826_at,EPS8L1,0.14903,0.51701
230254_at,NA,0.14722,0.23951
243502_at,GJC1,0.14667,0.21997
214752_x_at,FLNA,0.14635,0.44999
213435_at,SATB2,0.14618,0.53456
212551_at,CAP2,0.14472,0.64264
200859_x_at,FLNA,0.14129,0.45196
226610_at,PRR6,0.13914,0.69312
205080_at,RARB,0.13893,0.44797
201603_at,PPP1R12A,0.13817,0.42965
225308_s_at,TANC1,0.1379,0.45559
214297_at,CSPG4,0.1377,0.24458
209566_at,INSIG2,0.13596,0.5112
239058_at,NA,0.13508,0.40787
244832_at,EDNRA,0.13457,0.05729
210471_s_at,KCNAB1,0.13435,0.15982
213417_at,TBX2,0.13405,0.67812
212830_at,MEGF9,0.13377,0.47033
203296_s_at,ATP1A2,0.13208,0.84821
208690_s_at,PDLIM1,0.13192,0.49762
207961_x_at,MYH11,0.13063,0.6138
205132_at,ACTC1,0.13022,0.13788
219719_at,HIGD1B,0.12862,0.23229
202759_s_at,AKAP2,0.12744,0.58912
201177_s_at,UBA2,0.12677,0.38969
218839_at,HEY1,0.12419,0.47184
219506_at,C1orf54,0.1227,0.39499
229308_at,NA,0.12246,0.55226
200985_s_at,CD59,0.11968,0.52752
242342_at,NA,0.11876,0.73392
206118_at,STAT4,0.11575,0.46554
208476_s_at,FRMD4A,0.11562,0.54465
204687_at,DKFZP564O0823,0.11477,0.36192
203072_at,MYO1E,0.11271,0.45447
208712_at,CCND1,0.11266,0.8086
228060_at,SLC35F1,0.11191,0.35078
235721_at,DTX3,0.11185,0.60237
232270_at,C9orf3,0.11165,0.63698
244461_at,SPECC1,0.10795,0.61498
212136_at,ATP2B4,0.10749,0.63344
1558881_at,LOC145820,0.10368,0.43073
202834_at,AGT,0.10305,0.57282
219167_at,RASL12,0.10087,0.65949
225167_at,FRMD4A,0.10037,0.71585
205152_at,SLC6A1,0.09936,0.11059
221665_s_at,EPS8L1,0.09799,0.67925
207819_s_at,ABCB4,0.0979,0.56154
221009_s_at,ANGPTL4,0.09562,0.58645
216080_s_at,FADS3,0.09486,0.66617
212099_at,RHOB,0.09423,0.73086
220170_at,FHL5,0.09269,0.53621
226272_at,NA,0.09121,0.73053
205679_x_at,ACAN,0.09111,0.27193
209169_at,GPM6B,0.09001,0.73849
215241_at,TMEM16C,0.08854,0.29709
229373_at,NA,0.08796,0.45334
216874_at,DKFZp686O1327,0.08789,0.11235
214321_at,NOV,0.08703,0.82834
235639_at,NA,0.08649,0.27022
230596_at,NA,0.08649,0.70965
201602_s_at,PPP1R12A,0.08633,0.71244
239580_at,GUCY1A3,0.08603,0.4237
244885_at,EBF2,0.08569,0.44745
225896_at,M-RIP,0.08507,0.33366
203726_s_at,LAMA3,0.08308,0.88666
217161_x_at,ACAN,0.0827,0.34799
231048_at,NA,0.08154,0.11296
206167_s_at,ARHGAP6,0.08043,0.78488
221211_s_at,C21orf7,0.0802,0.62786
227821_at,LGI4,0.0801,0.17432
213847_at,PRPH,0.07952,0.51936
221272_s_at,C1orf21,0.07952,0.64159
1555419_a_at,ASAH1,0.07784,0.74762
1552667_a_at,SH2D3C,0.07503,0.54068
225807_at,JUB,0.07426,0.79144
40665_at,FMO3,0.07387,0.75561
210108_at,CACNA1D,0.07203,0.75402
210524_x_at,NA,0.07195,0.79125
209081_s_at,COL18A1,0.07194,0.77918
211966_at,COL4A2,0.0711,0.84174
228579_at,NA,0.06797,0.69633
206117_at,TPM1,0.06564,0.73522
214369_s_at,RASGRP2,0.06548,0.63403
204845_s_at,ENPEP,0.06525,0.75751
229145_at,C10orf104,0.06519,0.7024
225665_at,ZAK,0.06507,0.81392
215115_x_at,NTRK3,0.06479,0.38954
218678_at,NES,0.06356,0.73496
230595_at,LOC572558,0.06339,0.77179
202910_s_at,CD97,0.06153,0.7762
229587_at,UBA2,0.05996,0.62953
241859_at,NA,0.05901,0.30568
209170_s_at,GPM6B,0.05872,0.85432
206194_at,HOXC4,0.05819,0.80643
222106_at,PRND,0.05699,0.4004
206819_at,DKFZP434P211,0.05692,0.53512
226188_at,HSPC159,0.05672,0.82618
1558017_s_at,PAWR,0.05576,0.65806
241442_at,DAAM2,0.05554,0.4495
201496_x_at,MYH11,0.05509,0.80542
223519_at,ZAK,0.05489,0.84828
212841_s_at,PPFIBP2,0.05304,0.81307
225662_at,ZAK,0.05277,0.85576
206210_s_at,CETP,0.05271,0.57689
224049_at,KCNK17,0.0526,0.46449
242500_at,NA,0.05228,0.68116
229382_at,C1orf183,0.0512,0.61543
236300_at,NA,0.05071,0.8811
213138_at,ARID5A,0.05009,0.56096
209099_x_at,JAG1,0.05004,0.8543
241558_at,NA,0.04898,0.30086
228783_at,BVES,0.04862,0.83485
202205_at,VASP,0.04759,0.7759
232424_at,PRDM16,0.04719,0.81217
218711_s_at,SDPR,0.04654,0.82004
235924_at,NA,0.04578,0.88852
203641_s_at,COBLL1,0.04499,0.83415
241255_at,NA,0.04481,0.68043
219282_s_at,TRPV2,0.0437,0.7895
209030_s_at,CADM1,0.0428,0.88223
222924_at,SLMAP,0.04244,0.68083
208072_s_at,DGKD,0.04181,0.70161
212730_at,DMN,0.04142,0.84935
233301_at,OXCT2,0.04127,0.54589
236576_at,NA,0.03958,0.54294
237056_at,INSC,0.03882,0.39162
202890_at,MAP7,0.03854,0.85572
225889_at,AEBP2,0.03635,0.87759
226653_at,MARK1,0.03577,0.87077
231166_at,GPR155,0.03491,0.9055
225102_at,MGLL,0.03411,0.92241
205414_s_at,RICH2,0.0331,0.91441
224998_at,CMTM4,0.03292,0.87925
235147_at,SATB2,0.0328,0.87166
212285_s_at,AGRN,0.03245,0.84015
206528_at,TRPC6,0.03109,0.66784
219958_at,C20orf46,0.03104,0.84388
212554_at,CAP2,0.02982,0.91595
207317_s_at,CASQ2,0.02912,0.81676
213332_at,PAPPA2,0.02868,0.92377
230574_at,SPIRE2,0.02683,0.66737
210869_s_at,MCAM,0.02669,0.90582
203315_at,NCK2,0.02608,0.87967
238891_at,NA,0.02601,0.68005
243409_at,FOXL1,0.02227,0.76805
230047_at,FLJ32810,0.02162,0.92926
218804_at,TMEM16A,0.02141,0.96294
210602_s_at,CDH6,0.02024,0.95996
204736_s_at,CSPG4,0.01899,0.79207
1555993_at,CACNA1D,0.01873,0.909
209086_x_at,MCAM,0.01871,0.89979
204257_at,FADS3,0.01696,0.91772
220392_at,EBF2,0.01654,0.8183
1557570_a_at,LOC285084,0.01638,0.63499
219058_x_at,TINAGL1,0.01462,0.91802
209087_x_at,MCAM,0.01376,0.95064
230788_at,GCNT2,0.0137,0.97666
1555191_a_at,FHL5,0.01359,0.83997
217455_s_at,SSTR2,0.01236,0.8614
228507_at,NA,0.01201,0.96791
205555_s_at,MSX2,0.01078,0.89026
204311_at,ATP1B2,0.00988,0.93485
230249_at,KHDRBS3,0.00642,0.9755
225369_at,ESAM,0.00533,0.97108
236359_at,SCN4B,0.0043,0.97326
210246_s_at,ABCC8,0.00244,0.97024
201288_at,ARHGDIB,0.00195,0.99434
231431_s_at,NA,-0.0016,0.99015
210300_at,REM1,-0.0023,0.97622
206701_x_at,EDNRB,-0.0025,0.99342
216867_s_at,PDGFA,-0.0026,0.98067
200621_at,CSRP1,-0.0031,0.98566
228849_at,NTRK3,-0.0031,0.97555
211340_s_at,MCAM,-0.004,0.98542
218224_at,PNMA1,-0.0047,0.97821
209032_s_at,CADM1,-0.0048,0.98534
231183_s_at,JAG1,-0.0054,0.98466
220301_at,CCDC102B,-0.006,0.97625
209481_at,SNRK,-0.0103,0.93739
239230_at,HES5,-0.0115,0.77097
1554008_at,OSMR,-0.0122,0.961
223126_s_at,C1orf21,-0.0124,0.95308
226438_at,MTBP,-0.0131,0.95429
225567_at,NA,-0.0135,0.95316
206090_s_at,DISC1,-0.0145,0.94339
217377_x_at,NTRK3,-0.0147,0.83542
206826_at,PMP2,-0.017,0.6404
233882_s_at,SEMA6D,-0.0171,0.95976
203410_at,AP3M2,-0.0172,0.90372
203710_at,ITPR1,-0.0177,0.93013
223610_at,SEMA5B,-0.0184,0.93444
206252_s_at,AVPR1A,-0.02,0.66015
206209_s_at,CA4,-0.0209,0.9259
225243_s_at,SLMAP,-0.0214,0.88925
226673_at,SH2D3C,-0.0216,0.85708
205610_at,MYOM1,-0.0223,0.88649
206462_s_at,NTRK3,-0.0229,0.68271
216887_s_at,LDB3,-0.0237,0.61209
227204_at,PARD6G,-0.0242,0.89922
217997_at,PHLDA1,-0.0245,0.92991
225757_s_at,CLMN,-0.0246,0.88064
242670_at,LGI4,-0.0247,0.73809
224301_x_at,H2AFJ,-0.025,0.92474
236281_x_at,HTR7,-0.0258,0.57279
226231_at,PAWR,-0.026,0.85872
234563_at,PDE3A,-0.027,0.93516
212350_at,TBC1D1,-0.0277,0.83308
201604_s_at,PPP1R12A,-0.0277,0.85264
205577_at,PYGM,-0.0279,0.84833
209695_at,PTP4A3,-0.028,0.88334
225168_at,FRMD4A,-0.0285,0.90178
1568760_at,MYH11,-0.0289,0.73513
222870_s_at,B3GNT2,-0.0296,0.89339
217287_s_at,TRPC6,-0.0299,0.70644
213371_at,LDB3,-0.0306,0.66669
209842_at,SOX10,-0.0307,0.47657
205967_at,HIST1H4C,-0.0307,0.88583
212323_s_at,VPS13D,-0.0313,0.82068
226911_at,EGFLAM,-0.0327,0.87868
236121_at,OR51E2,-0.0339,0.48088
225699_at,SNORA9,-0.0376,0.80521
226364_at,HIP1,-0.0407,0.87205
220987_s_at,NUAK2,-0.0427,0.8446
219728_at,MYOT,-0.0437,0.39194
225245_x_at,H2AFJ,-0.045,0.8659
206208_at,CA4,-0.0457,0.76048
216268_s_at,JAG1,-0.0469,0.8712
1553614_a_at,FLJ25694,-0.0474,0.54975
206927_s_at,GUCY1A2,-0.0482,0.75018
225009_at,CMTM4,-0.05,0.82593
207066_at,HRC,-0.0523,0.49818
228724_at,NA,-0.0523,0.62412
229615_at,NA,-0.0523,0.75441
241612_at,FOXD3,-0.0547,0.30428
230665_at,NA,-0.0571,0.75827
228434_at,BTNL9,-0.0583,0.85701
206414_s_at,DDEF2,-0.0586,0.77237
225589_at,SH3RF1,-0.0609,0.81244
229952_at,SPTB,-0.0622,0.76316
218051_s_at,NT5DC2,-0.0627,0.7989
226690_at,ADCYAP1R1,-0.0629,0.84061
230964_at,FREM2,-0.0633,0.83985
209948_at,KCNMB1,-0.0637,0.57575
216331_at,ITGA7,-0.0641,0.79419
209914_s_at,NRXN1,-0.0649,0.45169
207695_s_at,IGSF1,-0.0649,0.70309
203143_s_at,KIAA0040,-0.0663,0.76021
225320_at,CCDC109A,-0.0667,0.60913
207692_s_at,ACAN,-0.0682,0.26789
229768_at,OR51E1,-0.0724,0.44462
229781_at,CAMTA1,-0.0724,0.29911
218076_s_at,ARHGAP17,-0.0741,0.5259
240402_at,KIRREL3,-0.0744,0.43735
237719_x_at,RGS7BP,-0.0766,0.15823
220460_at,SLCO1C1,-0.0767,0.68915
228570_at,BTBD11,-0.0787,0.7955
218864_at,TNS1,-0.0791,0.62693
206858_s_at,HOXC6,-0.0802,0.85964
232406_at,JAG1,-0.0823,0.69901
212864_at,CDS2,-0.0841,0.61558
205207_at,IL6,-0.0859,0.7173
238613_at,ZAK,-0.0865,0.68837
228133_s_at,NDE1,-0.091,0.24818
219543_at,PBLD,-0.0917,0.64902
228547_at,NRXN1,-0.0919,0.40557
235183_at,NA,-0.0922,0.82298
204032_at,BCAR3,-0.0927,0.60538
232305_at,HMGCLL1,-0.0944,0.38928
231337_at,DKFZp686O1327,-0.0946,0.48941
205081_at,CRIP1,-0.0955,0.82437
243584_at,PRSS23,-0.0986,0.81008
231936_at,HOXC9,-0.1002,0.66857
1554299_at,NPAS4,-0.1019,0.03042
212978_at,LRRC8B,-0.1022,0.52889
227224_at,RALGPS2,-0.1056,0.59605
238763_at,RBM20,-0.1057,0.45723
203817_at,GUCY1B3,-0.1079,0.71758
231800_s_at,DMRT3,-0.1109,0.2223
201365_at,OAZ2,-0.1116,0.27651
214479_at,GFRA3,-0.1133,0.1036
209292_at,ID4,-0.1137,0.84001
204005_s_at,PAWR,-0.1158,0.51204
221031_s_at,APOLD1,-0.1173,0.63875
236373_at,NA,-0.1192,0.53546
1555812_a_at,ARHGDIB,-0.1207,0.67687
226492_at,SEMA6D,-0.1211,0.7734
214319_at,FRY,-0.1217,0.49054
214168_s_at,TJP1,-0.123,0.63191
203006_at,INPP5A,-0.123,0.45116
205110_s_at,FGF13,-0.1231,0.70624
227167_s_at,RASSF3,-0.1255,0.59513
209826_at,PPT2,-0.1256,0.46735
217996_at,PHLDA1,-0.1266,0.73222
209198_s_at,SYT11,-0.1279,0.64626
218484_at,NDUFA4L2,-0.1289,0.70421
209168_at,GPM6B,-0.1294,0.61458
201674_s_at,AKAP1,-0.1332,0.39022
204529_s_at,TOX,-0.1338,0.72656
235004_at,RBM24,-0.1346,0.65967
218081_at,C20orf27,-0.1375,0.33302
209195_s_at,ADCY6,-0.1376,0.26117
235275_at,BMP8B,-0.1409,0.38404
218833_at,ZAK,-0.1483,0.17833
204028_s_at,RABGAP1,-0.1485,0.2675
239262_at,PRSS23,-0.151,0.6875
201952_at,ALCAM,-0.1542,0.63363
239921_at,COL28A1,-0.1589,0.04866
225755_at,KLHDC8B,-0.1638,0.25788
213248_at,LOC730101,-0.1655,0.46824
241951_at,NA,-0.1662,0.4392
228802_at,RBPMS2,-0.1663,0.27449
202080_s_at,TRAK1,-0.1671,0.14502
201675_at,AKAP1,-0.1677,0.33188
202761_s_at,SYNE2,-0.1679,0.45452
227396_at,PTPRJ,-0.1687,0.42741
202893_at,UNC13B,-0.169,0.29497
213721_at,SOX2,-0.1706,0.19262
224818_at,SORT1,-0.1731,0.41474
222486_s_at,ADAMTS1,-0.1735,0.55509
206078_at,KALRN,-0.1746,0.21694
214044_at,RYR2,-0.1759,0.1396
219882_at,TTLL7,-0.176,0.37636
205483_s_at,ISG15,-0.1802,0.6488
211026_s_at,MGLL,-0.1842,0.61061
213839_at,KIAA0500,-0.1848,0.52807
206655_s_at,GP1BB,-0.1856,0.09578
208820_at,PTK2,-0.187,0.26407
1555797_a_at,ARPC5,-0.1884,0.16433
225516_at,SLC7A2,-0.1888,0.59643
206191_at,ENTPD3,-0.1901,0.47327
213093_at,PRKCA,-0.1908,0.56437
206574_s_at,PTP4A3,-0.1914,0.43285
226446_at,HES6,-0.2008,0.24264
204022_at,WWP2,-0.2012,0.12234
213720_s_at,SMARCA4,-0.2069,0.20617
201951_at,ALCAM,-0.2093,0.49541
204714_s_at,F5,-0.2107,0.19692
212666_at,SMURF1,-0.2122,0.18555
200950_at,ARPC1A,-0.2133,0.15988
232676_x_at,MYEF2,-0.2153,0.30575
215785_s_at,CYFIP2,-0.2171,0.41709
222757_s_at,ZAK,-0.2175,0.29755
225260_s_at,MRPL32,-0.2189,0.05989
224634_at,GPATCH4,-0.2203,0.10332
213313_at,RABGAP1,-0.2235,0.13509
201596_x_at,KRT18,-0.2282,0.30437
205229_s_at,COCH,-0.23,0.64694
209663_s_at,ITGA7,-0.2309,0.37
229339_at,NA,-0.2312,0.24172
242794_at,MAML3,-0.2336,0.324
236291_at,RDH5,-0.2353,0.09577
218942_at,PIP4K2C,-0.2417,0.09763
205572_at,ANGPT2,-0.2456,0.42289
1565951_s_at,CHML,-0.248,0.32308
237261_at,NA,-0.2496,0.15664
214578_s_at,ROCK1,-0.2528,0.07144
230087_at,PRIMA1,-0.2566,0.34048
1555216_a_at,LOC645722,-0.2586,0.37698
205659_at,HDAC9,-0.2596,0.35325
204469_at,PTPRZ1,-0.2619,0.17988
209098_s_at,JAG1,-0.2625,0.46944
213610_s_at,KLHL23,-0.263,0.32197
209803_s_at,PHLDA2,-0.2641,0.56008
226350_at,CHML,-0.2662,0.30303
206128_at,ADRA2C,-0.2702,0.1752
230720_at,RNF182,-0.2709,0.57116
212793_at,DAAM2,-0.2766,0.2935
230053_at,NA,-0.2799,0.18726
207821_s_at,PTK2,-0.2824,0.0785
207169_x_at,DDR1,-0.2824,0.09181
215143_at,DPY19L2P2,-0.2863,0.40833
235173_at,MBNL1,-0.2891,0.02625
205449_at,SAC3D1,-0.2949,0.1603
226403_at,TMC4,-0.295,0.45384
201364_s_at,OAZ2,-0.295,0.06576
212817_at,DNAJB5,-0.2975,0.06767
219478_at,WFDC1,-0.2978,0.10901
206395_at,DGKG,-0.3004,0.07272
219412_at,RAB38,-0.3028,0.31205
227006_at,PPP1R14A,-0.3033,0.30017
210625_s_at,AKAP1,-0.3097,0.10112
222240_s_at,ISYNA1,-0.3097,0.25563
823_at,CX3CL1,-0.3165,0.21328
219327_s_at,GPRC5C,-0.3182,0.23239
226013_at,TRAK1,-0.3193,0.09994
232181_at,LOC153346,-0.324,0.12957
202079_s_at,TRAK1,-0.3241,0.0347
212807_s_at,SORT1,-0.3253,0.22611
208978_at,CRIP2,-0.3286,0.21593
203238_s_at,NOTCH3,-0.3321,0.29701
214038_at,CCL8,-0.3372,0.44729
235843_at,DGKG,-0.3385,0.15897
229893_at,FRMD3,-0.3462,0.17057
225759_x_at,CLMN,-0.3491,0.10167
211673_s_at,MOCS1,-0.3499,0.02632
211555_s_at,GUCY1B3,-0.3501,0.18038
212573_at,ENDOD1,-0.3508,0.12673
222889_at,DCLRE1B,-0.3511,0.03633
211148_s_at,ANGPT2,-0.3589,0.19532
228375_at,IGSF11,-0.3632,0.11461
221042_s_at,CLMN,-0.3675,0.25985
203680_at,PRKAR2B,-0.3745,0.33413
204904_at,GJA4,-0.3746,0.08672
221489_s_at,SPRY4,-0.3773,0.16969
237206_at,MYOCD,-0.3798,0.28489
236034_at,NA,-0.3849,0.1599
232298_at,hCG_1806964,-0.3924,0.01513
209291_at,ID4,-0.3962,0.38746
222735_at,TMEM38B,-0.4011,0.08544
227443_at,C9orf150,-0.4052,0.08699
230645_at,FRMD3,-0.4066,0.2116
218719_s_at,GINS3,-0.4159,0.01525
201761_at,MTHFD2,-0.4193,0.04629
214510_at,GPR20,-0.4221,0.04414
210106_at,RDH5,-0.4267,0.04809
234725_s_at,SEMA4B,-0.4277,0.02116
226590_at,ZNF618,-0.4286,0.01359
227347_x_at,HES4,-0.4394,0.04593
226933_s_at,ID4,-0.4432,0.26568
218772_x_at,TMEM38B,-0.4523,0.03914
40687_at,GJA4,-0.458,0.0569
241682_at,KLHL23,-0.4638,0.16263
210983_s_at,MCM7,-0.4679,0.03626
209513_s_at,HSDL2,-0.4747,0.06337
202495_at,TBCC,-0.4772,0.00197
225355_at,LOC54492,-0.4812,0.05192
226499_at,NRARP,-0.4845,0.00679
227702_at,CYP4X1,-0.4974,0.22937
1554020_at,BICD1,-0.4981,0.15534
209293_x_at,ID4,-0.5004,0.21548
202454_s_at,ERBB3,-0.5056,0.22006
227372_s_at,BAIAP2L1,-0.5358,0.04164
200657_at,SLC25A5,-0.5426,0.00644
226213_at,ERBB3,-0.5621,0.18731
205632_s_at,PIP5K1B,-0.5732,0.06804
213181_s_at,MOCS1,-0.5764,0.00144
205088_at,MAMLD1,-0.5797,0.01231
229242_at,NA,-0.5806,0.06658
204510_at,CDC7,-0.5889,0.00716
206453_s_at,NDRG2,-0.6261,0.04482
212909_at,LYPD1,-0.6438,0.24946
209512_at,HSDL2,-0.6589,0.01546
202613_at,CTPS,-0.6719,0.00316
213547_at,CAND2,-0.6758,0.00117
214433_s_at,SELENBP1,-0.7723,0.02212
203126_at,IMPA2,-0.7918,0.00069
202870_s_at,CDC20,-0.8214,0.0204
221245_s_at,FZD5,-0.8311,0.04977
229551_x_at,ZNF367,-1.0658,0.00071
202350_s_at,MATN2,-1.0931,0.00204
224428_s_at,CDCA7,-1.1655,0.00581
241803_s_at,TTC7B,-1.3017,0.00065
